# video preview wire golden — SoT: Go internal/video BuildStartFrame/BuildStopFrame + Validate{Start,Stop}Ack
# start|<calleehex4>|<callerhex4>|<framehex36B>
# stop|<calleehex4>|<callerhex4>|<framehex36B>
# start_stop_diff|<calleehex4>|<callerhex4>|<comma-sep byte offsets>   （恰差 2 处：req 数字 + sep）
# ack_ok|<start|stop>|<name>|<ackhex>     （Validate 通过）
# ack_err|<start|stop>|<name>|<ackhex>    （Validate 拒绝）
start|06020000|06021103|07b81e0000007265713d3730342671756572792a06020000060211038000000002000001
stop|06020000|06021103|07b81e0000007265713d3730382671756572793d06020000060211038000000002000001
start_stop_diff|06020000|06021103|12,19
start|12340000|12345678|07b81e0000007265713d3730342671756572792a12340000123456788000000002000001
stop|12340000|12345678|07b81e0000007265713d3730382671756572793d12340000123456788000000002000001
start_stop_diff|12340000|12345678|12,19
start|99887766|aabbccdd|07b81e0000007265713d3730342671756572792a99887766aabbccdd8000000002000001
stop|99887766|aabbccdd|07b81e0000007265713d3730382671756572793d99887766aabbccdd8000000002000001
start_stop_diff|99887766|aabbccdd|12,19
ack_ok|start|typical|07b8180000007265713d3730352671756572792a00008000000002000001
ack_ok|start|short-lenient|07b8070000007265713d373035
ack_ok|stop|typical|07b8180000007265713d3730392671756572792a00008000000002000001
ack_ok|stop|short-lenient|07b8070000007265713d373039
ack_err|start|bad-magic|0000180000007265713d3730352671756572792a0000
ack_err|start|wrong-req-704|07b8180000007265713d3730342671756572792a0000
ack_err|start|too-short|07b818000000726571
ack_err|stop|wrong-req-705|07b8180000007265713d3730352671756572792a0000
